class_name,local_peak_change,transient_energy_proxy,derivative_energy,spectral_spread_hz,high_freq_energy_ratio,transient_score
Sag_with_Oscillatory_Transient,1.0910351514124554,0.43908363340687223,2.0743980881463275,2.0849870496118346,3.211207292680126,8.900711215257616
Interruption,2.247961855889007,2.953056682173017,-0.12685823798649493,1.9381570585575678,0.9943462197340336,8.00666357836713
Swell_with_Oscillatory_Transient,1.1165455077226036,-0.17056794309409828,2.2710334293917227,0.7613544085850803,0.6667748258523172,4.645140228457626
Oscillatory_Transient,0.5094707036659412,-0.7066683965828299,2.002400052597229,1.0201027121682866,1.3891272250451432,4.21443229689377
Harmonics_with_Sag,0.2404904566188441,1.2402411699267548,-0.5313760868166044,0.3775976182824754,-0.25124315448314816,1.0757100035283218
Sag_with_Harmonics,0.24234679498021477,0.8818849671778056,-0.567690792892029,0.31587217612507495,-0.2649125052864147,0.6075006401046517
Flicker_with_Sag,0.2895941086574913,0.7596431118533056,-0.5584220971435891,0.21832272689547047,-0.2937034031895546,0.41543444707312366
Sag,0.20874794199762273,0.3371688144521162,-0.5919053869392601,0.0369560645457398,-0.3298947625376375,-0.3389273284814189
Notch,-0.09291129705899547,-0.8380506817001406,-0.08168805378970893,0.19705354348414286,-0.3113343857553905,-1.1269308748200926
Harmonics_with_Swell,0.0977349308919019,-0.09911352331206377,-0.1665397230131215,-0.4643170887777283,-0.5650510453139308,-1.1972864495249425
Flicker_with_Swell,0.0097900723536767,-0.3260507531781256,-0.31262690015488276,-0.5934567786247149,-0.5652653430226685,-1.7876097026267153
Swell_with_Harmonics,-0.03641795499876972,-0.31370120734390095,-0.34699900455837374,-0.6033177568139543,-0.5674299792799594,-1.867865902994958
Swell,-0.00039128621348889645,-0.5723678664199632,-0.36062209813805174,-0.7858891189428612,-0.5927291101791301,-2.311999479893495
Harmonics,-1.3096719253517888,-0.7092608790331891,-0.5101141980748819,-0.6951301447193882,-0.6349175147474794,-3.8590946619267275
Transient,-1.1980394677194928,-0.8959666738359146,-0.7145408432168571,-1.0458417553824024,-0.6159903974057087,-4.470379137560375
Flicker,-1.6936892812760496,-0.8441116690071314,-0.7238949078056613,-1.3368571091163062,-0.6340664473631177,-5.2326194145682665
Pure_Sinusoidal,-1.7225963115711713,-1.135218785482515,-0.754553239605762,-1.425593605878318,-0.6349175147474794,-5.672879457285245
